Grupo,C�digo de barras,Art�culo,deposito 1,deposito 2,deposito 3,deposito 4,deposito 5
,PJQ40,PILETA ACERO INOX Q 40,1,,,,
,PJQMQ71A,QUADRA MAX Q 71 A,1,1,,1,
,PJR63/18,PILETA ACERO INOX R63/18,,1,,,
,PJSOAM,SOPAPA AMERICANA,30,,2,,
,PJSOCESU,SOPAPA CESTILLO,89,,1,,
,PJSOCESUCR,SOPAPA CESTILLO ANTIRREBALSE,1,,,,1
,PJSOCO,SOPAPA COM�N,26,,1,,
,PJX28,PILETA ACERO INOX ESQUIN X28,,,,,1
,PJZ52,PILETA ACERO INOX Z52,6,,,,
,PJZ52/18,PILETA ACERO INOX Z52/18,2,1,,,
,PJZARA D84 A,PILETA ACERO INOX ZARA D84 A,1,,,,
,PJZZ52,PILETA ACERO INOX ZZ52,1,,1,,1
,PJZZ52/18,PILETA ACERO INOX ZZ52/18,1,,,,
,PMP-SOCO,SOPAPA COM�N MI PILETA,20,,,,
PILETAS MI PILETA,PMP-104P,PILETA MI PILETA DOBLE 57 X37X 18 CM,,15,,,
,PMP-455,PILETA MI PILETA OVAL  38 X 28 X 13 CM,1,,,,
,PMP-458,PILETA MI PILETA OVAL RI�ON 37 X26 X 13 CM,1,,,,
PILETAS PRINGLES,PPVALBM,PILETA PRINGLES VALENTINA BAJO MESADA,1,,,,
PILETAS VIDRIO COLORI,PVCC-NARAN,PILETA DE VIDRIO CUADRADA NARANJA,,,1,,
,PVCC-TRANS,PILETA DE VIDRIO CUADRADA TRANSPARENTE,,,1,,
TERMOTANQUES ORMAY,ORCAMP-VITROC605,CAMPANA VITRO C 605,,,1,,
TURBOAR,TURBOAR_M288C_SEC.PELO.PARED,SECADOR DE PELO PARED TURBOAR MODELO M288C,1,,,,
,TURBOAR_M798C_SEC.MANO.PARED,SECADOR DE MANO PARED TURBOAR MODELO M-798C,1,,,,
